title,year,rating,votes,genres,plot,imdb_id
Up the Down Staircase,1967.0,7.3,2569.0,Drama,The experiences of a young female English teacher in an inner-city New York high school.,tt0062425
Boris Godunov,1990.0,8.8,79.0,"Drama,Music","This is the Andrei Tarkovsky production of the famous Pushkin/Mussorgsky opera, performed in 1990 at the Mariinsky Theatre in St. Petersburg, Russia, conducted by Valery Gergiev.",tt0254193
Devdas,2002.0,7.5,48167.0,"Drama,Musical,Romance","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",tt0238936
Matilda,1996.0,7.0,181512.0,"Comedy,Family,Fantasy",A girl gifted with a keen intellect and psychic powers uses both to get even with her callous family and free her kindly schoolteacher from the tyrannical grip of a sadistic headmistress.,tt0117008
The Man with My Face,1951.0,6.0,455.0,"Crime,Film-Noir,Thriller",A man arrives home one night to find that a look- alike has taken over his life completely.,tt0121515
Singoalla,1949.0,5.7,118.0,"Adventure,Drama,History,Romance,War","In 14th Century Sweden, when Lorld Erland Maneskold marries Singoalla, a gypsy, he abandons his worldly possessions. The gypsies, who meanwhile have stolen the Maneskold treasure, want the couple to join their caravan to escape detection. A jealous suitor makes Erland think Singoalla has betrayed him, and he returns to his castle, where a battle between the gypsies and the landed-gentry ensues. Ten years later, Sorgbarn, the son born to Singoalla from the brief marriage sets out to find his father Erland. He does and tries to bring his parents together. He succeeds briefly, but is hurt in an accident and dies. Erland's mind snaps when Singoalla is killed by a vindictive gypsy and he retires to his castle, demented and alone.—Les Adams <longhorn1939@suddenlink.net>",tt0041877
The Last Legion,2007.0,5.4,37465.0,"Action,Adventure,History,War","As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.",tt0462396
Marketa Lazarová,1967.0,7.9,6226.0,"Drama,History,Romance",A grim portrayal of the shift from Paganism to Christianity in medieval central Europe - as a young virgin promised to God is kidnapped and raped by a marauder who her religious father seeks to kill in return.,tt0063278
Killing Them Softly,2012.0,6.2,155596.0,"Crime,Drama,Thriller","Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",tt1764234
Sherlock Holmes and the Secret Weapon,1942.0,6.5,6850.0,"Adventure,Crime,Drama,Horror,Mystery,Thriller",Sherlock Holmes and Doctor Watson must protect a Swiss inventor of an advanced bomb sight from falling into German hands.,tt0035317
Precious: Based on the Novel Push by Sapphire,2010.0,,,Comedy,,tt10032120
Safe Harbour,2007.0,5.4,589.0,"Drama,Romance","Ophelia MacKenzie is spending the summer on a beach house with her daughter Philippa, recovering from the death of her husband and son in an air crash. Philippa meets Matt Bowles on the beach, where he spends time drawing, he is a handsome divorcée, and she introduces him to Ophelia. A romantic relationship develops between Ophelia and Matt after initial hesitance by Ophelia.—Clairie",tt0974629
Linda,2024.0,4.9,201.0,Drama,"Self-assured Linda begins working for a wealthy Buenos Aires family. Her charm ignites sexual tension, exposing the fragility beneath their happy facade.",tt33035303
Triage,2009.0,6.5,10790.0,"Drama,Mystery,War",The wife of a photojournalist sets out to discover why he came home from a recent assignment without his colleague.,tt1217070
A Good Year,2006.0,6.9,103283.0,"Comedy,Drama,Romance","A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold.",tt0401445
The Two Lives of Mattia Pascal,1985.0,6.8,324.0,Comedy,"Unlike in the previous 3 adaptations of the book,here Mattia narrates in flashback,back at his library job in his village,how he changed his name when mistakenly thought dead and tried to start a new life in Rome.",tt0089057
The Little Drummer Girl,2018.0,7.4,15828.0,"Drama,Thriller","As a Palestinian assassin is targeting prominent Israelis, a young English actress is recruited by Mossad to infiltrate the assassin's terrorist cell, requiring all of her acting talents but also putting her at considerable risk.",tt7598448
Love from a Stranger,1937.0,6.5,691.0,"Drama,Mystery,Romance,Thriller",A lottery winner breaks up with her fiancé and marries a fortune hunter who proves to be dangerous.,tt0029171
The Desert of the Tartars,2024.0,8.2,31024.0,"Action,Crime,Drama,Thriller",The Jackal is an elusive assassin who makes his living carrying out hits for the highest fee. He soon meets his match in a tenacious British intelligence officer who tracks him down in a thrilling cat-and-mouse chase across Europe.,tt24053860
The Big Bounce,2004.0,4.9,18958.0,"Comedy,Crime","A small-time con artist and a Hawaiian real estate developer's mischevious, enterprising mistress team up for a potential $200,000 score.",tt0315824
Paviljon VI,1978.0,7.4,228.0,Drama,"A doctor from provincial town in Tsardom of Russia meets his former student in Ward 6, where the story takes place. Impressed by his rebellious spirit and clever remarks, he tends to spend more time with him while also indulging in meditation, only to be ridiculed by his fellow colleagues. Based on a Chekhov's work of the same title.—Mario",tt0174108
Shake Hands with the Devil,2007.0,7.6,3788.0,"Drama,History,War","The story of General Romeo Dallaire's frustrated efforts to stop the madness of the Rwandan Genocide, despite the complete indifference of his superiors.",tt0472562
La Dama duende,1945.0,6.8,57.0,"Drama,Romance","Doña Ángelica - a young widow recently 18 years old - falls in love and wants to marry an army officer named Don Manuel, but to do so she must evade the vigilance of her sister-in-law who wishes to send her to the convent for the rest of her life. For this he elaborates an ingenious deception that allows him to communicate with Don Manuel in a seemingly mysterious and inexplicable way, appearing like a goblin or ghost.—Sebastian Incaurgarat",tt0037629
The Caine Mutiny,1954.0,7.7,30904.0,"Drama,War","When a U.S. Naval captain shows signs of mental instability that jeopardises the ship, the first officer is urged to consider relieving him of command.",tt0046816
Bad Girl,2016.0,5.4,890.0,"Drama,Thriller","Bad girl Amy, 17, is given one last chance by her adoptive parents, who think Amy's friendship with local girl Chloe is a step in the right direction. But when Amy discovers Chloe's secret she finds herself fighting for her life, and for the future of the family she herself tried to destroy.—Producers",tt3598108
The Informer,2019.0,6.6,43619.0,"Action,Crime,Drama,Thriller",An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.,tt1833116
Three Brothers,2014.0,5.6,524.0,"Comedy,Family,Fantasy,Musical","Three brothers (Vojtech Dyk, Tomás Klus and Zdenek Piskula) leave their home to see the world. During their journey, young men as by miracle enter into famous fairy tales (Little Riding Hood, Sleeping Beauty, Twelve Months) and face traps, unexpected moments and even love in a story full of humor and songs. Script and music of new fairy tale are based on popular musical theatre play Miniopers by famous duo of screenwriter Zdenek Sverák and composer Jaroslav Uhlír.—Czech film center",tt3060244
Pyrokinesis,2000.0,6.2,545.0,"Crime,Drama,Horror,Romance,Sci-Fi",A woman with the power to start fires with her mind searches for revenge for the murder of her friend by men above the law.,tt0266870
Heidi,1937.0,7.2,5083.0,"Drama,Family,Musical","A plucky little orphan girl gets dumped abruptly into her gruff, hermit grandfather's care, then later gets retaken and delivered as a companion for an injured girl.",tt0028988
Flaming Youth,1923.0,7.1,109.0,Drama,An ingenue becomes a bob-haired flapper and enters into a ménage-à-trois with her mother's lover amid the sexual revolution of the Jazz Age.,tt0014045
The Wind in the Willows,1996.0,6.2,3507.0,"Adventure,Comedy,Family,Fantasy,Musical",Mole's underground home is bought by the Weasels from wealthy landowner Mr. Toad and Mole is thrown out. He and Rat start to fight to get his home back from evil Weasels.,tt0118172
Under the Hawthorn Tree,1998.0,7.5,41.0,Drama,"IRELAND 1845 - The three O'Driscoll children, Eily, Michael and Peggy set out a great adventure to walk across Ireland and try to find their great-aunts, Nano and Lena, whom they've only heard about in their Mother's stories. But their great adventure turns into a terrible battle for survival against hunger, disease and possibly death.—Alan Slattery <alansla@eircom.net>",tt0303170
The Frankenstein Syndrome,2010.0,4.8,1080.0,"Horror,Sci-Fi","A group of researchers conducting illegal stem cell research discover a cell anomaly that has the potential to regenerate dead tissue. Unable to conduct legal human trials, the researchers turn to corpses to test their serum.",tt1337686
The Hexer,2001.0,3.8,2395.0,"Adventure,Fantasy","The adventures of Geralt of Rivia, a monster slayer for hire.",tt0300657
The Anderson Tapes,1971.0,6.4,9130.0,"Action,Crime,Thriller","After ten years in prison to protect a mafia family, Duke Anderson is released and he cashes in a debt of honor with the mob to bankroll a caper.",tt0066767
Crash,1996.0,6.4,68185.0,Drama,A car crash victim suddenly finds himself turned on by car accidents and becomes involved with an underground sub-culture of like-minded souls.,tt0115964
Monsieur Hire,1989.0,7.5,7312.0,"Crime,Drama,Romance,Thriller",A recluse is accused of murdering a young woman simply because his neighbors think he is strange.,tt0097904
Casino Royale,2006.0,8.0,708845.0,"Action,Adventure,Thriller","After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.",tt0381061
Bidasari,1965.0,8.7,12.0,"Drama,Fantasy,Romance","Based on the 17th century Malay romance of the same name, Bidasari is the story of a humble merchant's daughter whose beauty is so enchanting that it enrages the narcissistic Queen Lelasari.",tt0277602
A Good Little Devil,1914.0,6.2,31.0,Drama,"Charles MacLance, a mischievous little boy sent to live with his cruel aunt, Mrs. MacMiche, takes his happiness from the make-believe world of fairies which he has created with Juliet, a little blind girl. When Charles' aristocratic grandfather dies, however, he is sent away to an expensive school, in preparation for his adult life as a lord. As he grows up, he forgets Juliet and his make-believe friends, and becomes engaged to a fashionable society girl, but the soul of his former self leaves him to rejoin the good fairies. Meanwhile, Mrs. MacMiche has come to believe in fairies, and in her new goodness, she asks Charles to come and live with her again. At first reluctant, Charles soon resurrects fond memories of the past. Juliet, whose sight has been restored, helps him to complete his change, and he asks her to marry him. In the end, the couple live happily with Mrs. MacMiche in their fantasy world.—Pamela Short",tt0004027
A Cry in the Woods,1999.0,,,,"Launch Pilot for the Thin Green Line, the first environmental TV news magazine. This focuses on David Gypsy Chain and Julia Butterfly Hill. David Gypsy Chain, an Earth First. activist, was killed by a logger falling old growth redwoods near Headwaters Forest, but the case was never prosecuted. The episode also features a story about the buffalo of Montana.",tt6158946
A Sound of Thunder,2005.0,4.2,20858.0,"Action,Adventure,Horror,Sci-Fi","A single mistake in the past, by a time travel company in the future, has devastating and unforeseen consequences.",tt0318081
The Little Engine That Could,1991.0,7.0,424.0,"Animation,Short,Adventure,Comedy,Family","A little switch engine named Tillie must help the birthday train reach a town that holds a kid's upcoming birthday party. Unfortunately, it is past by a treacherous mountain.",tt0186311
The Bad Mother's Handbook,2007.0,6.2,1583.0,"Comedy,Drama","Karen Cooper wants to domineer her family and believes she's its pillar. In fact she does everything wrong. Thus she messes up all their lives and futures, rather then help her loved-ones.",tt0909010
Flags of Our Fathers,2006.0,7.1,130957.0,"Action,Adventure,Drama,History,War","The life stories of the six men who raised the flag at the Battle of Iwo Jima, a turning point in World War II.",tt0418689
The Bridge of San Luis Rey,2004.0,5.0,3725.0,"Drama,History,Romance","In 1714 Peru, a friar is tried by the Inquisition for questioning God's intentions when five die in the collapse of an Andean rope bridge.",tt0356443
Rashomon,1950.0,8.2,186213.0,"Crime,Drama,Mystery","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",tt0042876
Who Framed Roger Rabbit,1988.0,7.7,222246.0,"Animation,Adventure,Comedy,Crime,Family,Fantasy,Mystery","When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence.",tt0096438
Ruggles of Red Gap,1935.0,7.6,4624.0,"Comedy,Mystery,Romance,Western",An English valet brought to the American west assimilates into the American way of life.,tt0026955
Crimen y castigo,1951.0,7.1,61.0,"Drama,Crime","An adaptation of Fiodor's Dostoievsky novel Crime and Punishment set in the XX Century Mexico. Ramón Bernal is a poor student in Mexico City that has abandoned his career when he receives a letter informing him that his sister will marry a rich man. Thinking she will marry for money instead of love and feeling guilty about this he murders an old usurer to steal her money. With feelings of guilt he gets severely ill while his friend and family don't suspect he got anything to do with the murder, but as the murder investigation moves along inspector Porfirio Marín suspects about the student. Ramón also meets Sonia, a prostitute, and fells in love with her, the girl will teach her about regret and atonement.—Pencho15",tt0042351
"Heaven Knows, Mr. Allison",1957.0,7.3,9904.0,"Adventure,Drama,War","During World War II, an American marine and an Irish nun form an unlikely friendship after being stranded on a South Pacific island. They find comfort in one another while hoping for a rescue, as they try to avoid capture by the Japanese.",tt0050490
Sugar Cane Alley,1983.0,7.3,1047.0,"Drama,History","Set in 1931, Sugar Cane Alley paints a rich impasto of native life under French colonial rules, filtered through the coming-of-age of a bright, sweetly opportunistic boy.",tt0086213
The Man on the Roof,2016.0,,,"Short,Adventure,Drama,Horror,Mystery,Thriller",A troubled man finds himself trapped on the roof of his office building during Christmas Eve. While battling the harsh weather conditions he gets forced to face his inner fear in order to survive.,tt5931724
Mysterious Island,2012.0,5.7,114722.0,"Action,Adventure,Comedy,Family,Fantasy,Sci-Fi","Sean Anderson partners with his mom's husband on a mission to find his grandfather, who is thought to be missing on a mythical island.",tt1397514
Not Without My Daughter,1991.0,6.5,15585.0,"Drama,Thriller",An American woman trapped in Islamic Iran by her brutal husband must find a way for her and her daughter to escape.,tt0102555
The Asphalt Jungle,1950.0,7.8,31006.0,"Crime,Drama,Film-Noir,Thriller","A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.",tt0042208
Tristana,1970.0,7.4,13116.0,Drama,"Shortly after her mother's death, an innocent and youthful woman will find refuge into the household of her middle-aged aristocratic guardian, who will submit her to his sexual advances.",tt0066491
The Mermaid Chair,2006.0,4.8,552.0,"Drama,Romance",A married woman (Basinger) falls in love with a Benedictine monk.,tt0760177
Den sommeren jeg fylte 15,1976.0,5.9,217.0,Drama,"Peter is telling his story about a special summer, when he was invited over to summer holiday from bickering parents, to his aunt and uncle in the country. He's been there before, but this summer was quite one to remember.",tt0075242
The Lonely Road,2024.0,6.3,32.0,Music,,tt33040507
Vlak u snijegu,1976.0,7.9,1317.0,"Adventure,Comedy,Drama,Family",One class of school children from a small village make the trip to Zagreb. Teacher gets sick and the class is forced to go home without him. During their journey the train gets stuck in a snowstorm.,tt0076893
The Cheetah Girls,2003.0,4.9,9126.0,"Comedy,Drama,Family,Music,Musical",Four teens aim to take the world by storm with their music.,tt0338852
Muppet Treasure Island,1996.0,6.9,27396.0,"Action,Adventure,Comedy,Family,Musical,Romance","The Muppets set sail in search of treasure, with Jim Hawkins and Long John Silver.",tt0117110
Black Sabbath,1963.0,7.0,14576.0,Horror,"Boris Karloff hosts a trio of horror stories about a stalked call girl, a vampire-like monster who preys on his family, and a nurse who is haunted by her ring's rightful owner.",tt0057603
Eclipse,2010.0,5.1,266499.0,"Action,Adventure,Drama,Fantasy,Mystery,Romance,Thriller","As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",tt1325004
Nevada Smith,1966.0,6.9,9331.0,"Drama,Western",A half-American Indian / half-Caucasian young man evolves into a hardened killer as he tracks down the men who murdered his parents.,tt0060748
The Last Mimzy,2007.0,6.2,22444.0,"Action,Adventure,Drama,Family,Fantasy,Sci-Fi","Two siblings begin to develop special talents after they find a mysterious box of toys. Soon the kids, their parents, and even their teacher are drawn into a strange new world and find a task ahead of them that is far more important than any of them could imagine!",tt0768212
The Bourne Ultimatum,2007.0,8.0,666501.0,"Action,Mystery,Thriller",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,tt0440963
Whiteout,2023.0,4.4,233.0,"Action,Thriller","After escaping a Russian labor camp, three men must overcome the treacherous wilderness and each other, as their journey home turns into a brutal fight for survival.",tt17505998
Akō Rōshi,1979.0,,,Drama,,tt10246138
Marhi Da Deeva,1989.0,7.8,85.0,Drama,Dalit Jagseer Singh's troubles do not seem to end in this poignant portrayal of life in a small village of Punjab in newly independent India.,tt0308158
Cadillac Desert,1997.0,8.7,79.0,"Documentary,History","The amazing transformation of the American Southwest in the 20th century, from desert to oasis.",tt0118279
The Eagle of the Ninth,1977.0,8.0,111.0,"Drama,History,War","In Britannia in 130, a young Roman officer named Marcus Flavius Aquila and his freed slave Esca search for the Ninth Legion's gold eagle standard, which vanished with the legion 13 years earlier.",tt0397778
Daydream,2010.0,6.3,13193.0,"Drama,Romance",A city girl who moves to a small town and becomes entangled in a love triangle between her high school teacher and a stoner classmate.,tt1581835
Election,1999.0,7.2,107413.0,"Comedy,Romance",A high school teacher meets his match in an over-achieving student politician.,tt0126886
Assignment in Brittany,1943.0,6.7,348.0,"Drama,Romance,War","A French captain (Jean-Pierre Aumont) poses as a Nazi to pinpoint a U-boat base off the coast of France, while assuming the identity of a look-a-like French citizen.",tt0035651
The House of the Spirits,1993.0,6.9,25462.0,"Drama,Romance","A rancher, his clairvoyant wife, and their family face turbulent years in South America in this adaptation of Isabel Allende's best-seller.",tt0107151
Four Feathers,2002.0,6.5,35859.0,"Adventure,Drama,Romance,War",A young British officer resigns his commission just before his regiment is sent to battle and soon receives four white feathers from his friends and fiancee as symbols of what they view as his cowardice.,tt0240510
Carrie,1976.0,7.4,215002.0,"Horror,Mystery","Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.",tt0074285
The Bitter Tears of Petra Von Kant,1972.0,7.5,11544.0,"Drama,Romance",A troubled fashion designer strikes up a romance with a much younger woman.,tt0068278
The Sunday Woman,1975.0,6.6,1367.0,"Comedy,Crime,Mystery","The investigation of the murder of ambiguous architect Garrone takes Police Commissioner Santamaria to the Turinese high society, but the results are unclear. In the meanwhile, another murder takes place.",tt0074423
Revolutionary Road,2008.0,7.3,228312.0,"Drama,Romance",A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,tt0959337
Big Trouble,2002.0,6.4,22000.0,"Comedy,Crime,Thriller","The lives of several Miami denizens, from ad agents to gunrunners to street thugs to law enforcement to school-children, intersect with humorous and dangerous results.",tt0246464
The Story of Mankind,1957.0,4.8,1588.0,"Drama,Fantasy,Sci-Fi",The Devil and the Spirit of Man argue as to whether or not humanity is ultimately good or evil.,tt0051016
Trent's Last Case,1952.0,6.0,620.0,"Crime,Drama,Film-Noir,Mystery","After a wealthy businessman is found dead, reporter Philip Trent is sent to investigate. Against the police conclusions, he suspects the assumed suicide is really a murder, and becomes highly interested in the young widow and the dead man's private secretary.—BSK",tt0045259
The Last Station,2009.0,6.9,19328.0,"Biography,Drama,Romance",A historical drama that illustrates Russian author Leo Tolstoy's (Christopher Plummer's) struggle to balance fame and wealth with his commitment to a life devoid of material things.,tt0824758
History Lessons,2018.0,7.0,68.0,Drama,A love tryst between a female teacher and her student sets off fireworks.,tt6303018
Titeuf,2001.0,5.8,385.0,"Animation,Family","The little Titeuf, a trouble-maker yet good child, is trying to cope his daily problems; love, friedship, school, family. As well as realising he is not a child any longer",tt0281498
Rabbit-Proof Fence,2002.0,7.4,30798.0,"Adventure,Biography,Drama","In 1931, three half-white, half-Aboriginal girls escape after being plucked from their houses to be trained as domestic staff, and set off on a journey across the Outback.",tt0252444
Phoenix 2772,1980.0,6.8,605.0,"Animation,Adventure,Drama,Fantasy,Romance,Sci-Fi","In the distant future, a young cadet is sent to find and capture ""Cosmozone 2772"", a mystical universal Phoenix which possesses the power to rejuvenate the drained Earth.",tt0079293
3:10 to Yuma,2007.0,7.6,338831.0,"Action,Crime,Drama,Western",A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,tt0381849
Call of the Wild,2020.0,6.7,59396.0,"Adventure,Drama,Family",A sled dog struggles for survival in the wilds of the Yukon.,tt7504726
Harriet the Spy,1996.0,6.0,11338.0,"Comedy,Drama,Family","Harriet M. Welsch is a spy. But when her friends find her secret notebook, the tables are turned on her. Can she win them back and still keep on going with the spy business?",tt0116493
Mildred Pierce,2011.0,7.6,24730.0,"Crime,Drama,Mystery","Divorced single mom Mildred Pierce decides to open a restaurant business, which tears at the already-strained relationship with her ambitious elder daughter, Veda.",tt1492030
Maniac,2018.0,7.6,89012.0,"Comedy,Drama,Sci-Fi","Two strangers are drawn to a mysterious pharmaceutical trial for a drug that they're assured will, with no complications or side-effects whatsoever, permanently solve all of their problems. Things do not go as planned.",tt5580146
Road to Perdition,2002.0,7.7,289730.0,"Crime,Drama,Thriller","A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",tt0257044
The Girl on a Motorcycle,1968.0,5.3,2738.0,"Drama,Romance",A married woman leaves her husband and zooms off on her motorcycle to see her lover.,tt0063013
Hunting Scenes From Bavaria,1969.0,7.3,787.0,"Drama,Horror","Abram returns to his small village and although his repairing skills are needed, people's suspicion about his sexual preferences make his life hard.",tt0064507
Madame Bovary,2014.0,5.7,9007.0,"Drama,Romance","Bored in her marriage to a country doctor and stifled by life in a small town, the restless Emma Bovary pursues her dreams of passion and excitement, whatever they may cost.",tt2334733
One of Our Dinosaurs is Missing,1975.0,5.9,1989.0,"Adventure,Comedy,Family,Mystery,Thriller","A suspected Western spy steals a secret microfilm from China and hides it in the skeleton of a museum dinosaur, prompting a frantic search for it by various interested parties.",tt0075016
Tørres Snørtevold,1940.0,6.4,96.0,"Comedy,Drama","Young fisherman Tønnes want to get rich, to get his revenge over Consul Krøger, who has taken over his childhood home. After acquiring a shop he gets in position of getting what he wants.",tt0033198
Elskere,1963.0,6.0,62.0,Drama,"Vi møter Ludvina, eller ""ludderet i bukta"" som hun også blir kalt. Det er i den lille byen Myrvik det foregår. Den skjønne og gavmilde Ludvina øser sitt erotiske overskudd bort på byens livslystne og kjærlighetshungrende menn. Til glede for sine elskere og stor forargelse for byens andre kvinner. Som sine faste kunder kan hun blant annet registrere byens beste borgere. Ikke underlig at det blir stor ståhei i det lille samfunnet da det viser seg at Ludvina er med barn. Ludvina er som alle sine medsøstre kvinne. Hennes drøm er å få barn. Sine moderlige føleleser har hun hele tiden viet den unge foreldreløse piken Grethe. De er glad i hverandre. Begge to gleder de seg over det barn som Ludvina venter, og de er enige om at det i grunnen ikke er nødvendig med noen mann for å få barn.—Anonymous",tt0233642
The Brave Archer 2,1977.0,6.2,539.0,"Action,Drama,Fantasy",A young man must complete a series of martial art tests and overcome assassins along the way.,tt0078249
Nanking,2007.0,7.7,3617.0,"Biography,History,War","Through readings of historical account by actors and the testimony of survivors, the events of the Nanjing Massacre are recounted.",tt0893356
Dust in the Sun,1958.0,,,Drama,When a policeman taking an Aborigine prisoner to trial is attacked and injured by other Aborigines it sets of a chain of tragic events.,tt0122051
Fast Food Nation,2006.0,6.3,25452.0,"Comedy,Drama","When contaminated meat is placed in the freezer next to that used for a fast food chain's most famous sandwich, a marketing executive seeks to find out who did it and why, taking a journey through the dark side of American alimentation.",tt0460792
Gomorra,2008.0,7.0,51835.0,"Crime,Drama","Scampia Vele is the Corbusian architecture which has become a stronghold for Mafia of Naples, Italy.",tt0929425
The Bridge,2011.0,8.6,79509.0,"Crime,Mystery,Thriller","When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.",tt1733785
Scrooge,1951.0,8.1,26553.0,"Drama,Family,Fantasy","Ebenezer Scrooge, a curmudgeonly, miserly businessman, has no time for sentimentality and largely views Christmas as a waste of time. However, this Christmas Eve, he will be visited by three spirits who will show him the error of his ways.",tt0044008
Seven Swords,2005.0,6.1,9999.0,"Action,Adventure,Fantasy",Seven warriors come together to protect a village from a diabolical General.,tt0429078
The Piano Teacher,2001.0,7.5,74388.0,"Drama,Music",A young man romantically pursues his masochistic piano teacher.,tt0254686
Werckmeister Harmonies,2000.0,8.0,16601.0,"Drama,Mystery",A naive young man witnesses an escalation of violence in his small hometown following the arrival of a mysterious circus attraction.,tt0249241
Last of the Red Hot Lovers,1972.0,6.1,660.0,Comedy,"A middle aged restaurateur begins to feel the desire to roam and realizes that one day each week, his mother's apartment will be empty all afternoon. He makes several attempts at seduction, only to learn that it is much more complicated and difficult than he could have imagined.—John Vogel <jlvogel@comcast.net>",tt0068835
Harry Potter and the Chamber of Secrets,2002.0,7.4,713700.0,"Adventure,Family,Fantasy,Mystery","Harry Potter lives his second year at Hogwarts with Ron and Hermione when a message on the wall announces that the legendary Chamber of Secrets has been opened. The trio soon realize that, to save the school, it will take a lot of courage.",tt0295297
Harry Potter and the Prisoner of Azkaban,2004.0,7.9,713476.0,"Adventure,Family,Fantasy,Mystery","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",tt0304141
Treasure Island,1934.0,7.1,3264.0,"Adventure,Family",Young Jim Hawkins is torn between his loyalty to his benefactors and his affection for lovable rogue Long John Silver in their struggle to recover a buried pirate treasure.,tt0025907
Vendetta,2005.0,8.1,1201172.0,"Action,Drama,Sci-Fi,Thriller","In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",tt0434409
Magic Tree House,2011.0,6.3,186.0,"Animation,Adventure,Family,Fantasy",Annie and Jack discover a magic tree house that contains books that take them to different places in time.,tt1990421
Design for Living,1933.0,7.4,8006.0,"Comedy,Mystery,Romance","A woman cannot decide between two men who love her, and the trio agree to try living together in a platonic friendly relationship.",tt0023940
Anamika,2022.0,4.3,146.0,Thriller,"Chase of an intelligent agent..., Sunny(Anamika) who forgot her own past, and no one knows the ultimate truth about her. Will Anamika be able to save herself from these powerful forces? It's time for Anamika to fight her past and solve it.",tt13729162
The Turning Point,1977.0,6.8,5302.0,"Drama,Music,Romance","When her daughter joins a ballet company, a former dancer is forced to confront her long-ago decision to give up the stage to have a family.",tt0076843
Hagbard and Signe,1967.0,6.1,174.0,"Adventure,Drama",The young beloveds fight for their love in medieval Scandinavia.,tt0063531
Daddy Long Legs,1955.0,6.7,4386.0,"Musical,Romance","A wealthy American has a chance encounter with a joyful young French woman, and anonymously pays for her education. She writes letters to her mysterious benefactor, nicknaming him from the description given by some of her fellow orphans.",tt0047969
The Vampire Lovers,1970.0,6.4,8080.0,Horror,Seductive vampire Carmilla Karnstein and her family target the beautiful and the rich in a remote area of late eighteenth-century Gemany.,tt0066518
Esther and the King,1960.0,5.5,960.0,"Biography,Drama,History,Romance","Two decades before she would gain fame and some fortune as Alexis Carrington on Dynasty (1981), Dame Joan Collins starred as Esther in this melodramatic, routine Biblical story. The setting is Persia in the fourth century B.C., as Esther comes to the attention of the recently widowed King Ahasuerus. The King has been trying to stifle and defeat the campaign of hatred fomented against the Jews by his evil minister Haman (Sergio Fantoni). Before the King can pair off with Esther and defeat the villainous Haman, there are several intervening adventures and an additional, attractive woman who competes for attention.",tt0053800
Kamilla and the Thief,2010.0,5.9,206955.0,"Adventure,Family,Fantasy",A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,tt0814255
Get Shorty,1995.0,6.9,91298.0,"Comedy,Crime,Thriller","A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",tt0113161
Atonement,2007.0,7.8,306753.0,"Drama,Mystery,Romance,War",Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,tt0783233
Peranmai,2009.0,7.1,1479.0,"Action,Adventure,Drama","Dhuruvan is a forest ranger, who is assigned the job of training five girls from the NCC camp. The group hears of a terrorist activity being carried out in the forest and makes a plan to defeat them.",tt1535020
Beck – De gesloten kamer,1992.0,5.7,102.0,Crime,A police officer investigates the case of a man shot dead in a room locked from the inside. A suicide? Then where's the gun?,tt0106371
